"","S02_Normal","S03_Normal","S05_Normal","S06_Normal","S10_Normal","S02_Tumour","S03_Tumour","S05_Tumour","S06_Tumour","S10_Tumour"
"KCNK1",65.5326764269711,72.8081873942136,131.897389967114,113.570316584582,43.071188280551,113.179953247344,327.708525494978,146.319184126027,429.620452463934,82.1882763806369
"KIF18B",45.79391846704,27.5490438788916,28.496349684253,2.70405515677576,6.96739810420677,17.4660421678,63.2957276656966,38.7087788693194,158.838547565891,57.2827380834742
"KTN1",60.0058241981904,37.3879881213529,27.6821682647029,21.6324412542061,44.3379879358613,41.91850120272,31.6478638328483,38.7087788693194,43.8696940896271,104.603260848083
"AC106795.1",735.86089674623,676.919363881337,452.684869269847,505.658314317067,476.950070224336,831.383607187279,855.513222320222,898.043669768211,815.371210838241,1510.52089772292
"MAPK14",300.029120990952,226.29571757661,134.339934225764,260.490646769398,243.858933647237,281.552599744936,138.842241331206,363.088345794216,307.087858627389,491.884381368963
"WASHC5",606.374644529082,362.073148122576,303.689669492182,482.22316962501,481.383869017922,470.884496843888,336.896614994837,850.044783970255,419.031215959541,945.165178377324
"KLHL9",22.1074089151228,13.7745219394458,0,11.7175723460283,31.0365915551029,29.342950841904,6.12539299990613,38.7087788693194,0,37.358307445744
"LBR",57.6371732429987,72.8081873942136,2.44254425865026,68.5027306383192,51.9387858677232,70.562810357912,74.5256148321912,17.0318627025006,0,59.7732919131904
"MBD3",104.220642028436,92.4860758791362,101.772677443761,87.4311167357496,69.0405812144126,118.070445054328,20.4179766663538,102.191176215003,1.51274807205611,175.584044994997
"KAT6B",133.434003809134,141.680797091443,51.2934294316554,182.073047222901,168.484354156273,109.686744813784,9.18808949985919,44.1280079110242,0,146.94267595326
"KIF14",25.2656101887117,27.5490438788916,16.2836283910017,0,17.1017953466894,16.068758794376,56.1494358324728,40.2571300240922,98.3286246836469,63.5091226577649
"KRT6B",5899.51997906419,1312.51516194434,2015.09901338646,3896.54348091387,2484.8275238912,14756.7097067309,10289.639341009,8307.67812093334,12354.6135044822,2072.14078632394
"OLMALINC",22.1074089151228,27.5490438788916,24.4254425865026,9.01351718925253,21.5355941402755,23.055175661496,52.0658404992021,0,0,6.22638457429067
"MAP7",638.746207583369,466.365957092665,618.777878858065,682.323251226417,784.782386464744,574.982108163976,356.293692827873,348.379009823875,701.915105434033,1592.70917410355
"MTMR6",5.52685222878069,5.90336654547678,0,33.3500136002344,17.7351951743445,18.164683854512,0,9.29010692863666,0,18.679153722872
"NCOA3",99.4833401180525,137.745219394458,56.992699368506,103.655447676404,104.510971563102,60.781826743944,75.5465136655089,44.1280079110242,0,104.603260848083
"NRP1",334.769335000431,269.587072243439,385.10781144719,533.60021760375,509.25346143475,321.37517588752,232.764933996433,381.66855965149,101.354120827759,339.960597756271
"METTL2A",53.6894216510125,33.4524104243684,45.5941594948048,16.2243309406546,30.4031917274477,11.876908674104,70.4420194989204,26.3219696311372,0,21.1697075525883
"MRE11",435.831775755278,360.105359274083,451.056506430747,395.693404608186,233.724536404754,275.264824564528,384.878860160768,483.859735866493,414.492971743373,697.355072320555
"NARS",329.24248277165,377.815458910514,110.728673058812,292.939308650707,448.447077979854,307.40234215328,99.0271868318157,119.223038917504,107.405113115983,1029.84400858768
"NIPBL",97.1146891628608,59.0336654547678,122.941394352063,81.1216547032728,87.4091762164122,81.7410773453039,21.4388754996714,27.0961452085236,0,74.7166148914881
"MCTP1",63.9535757901766,68.872609697229,38.266526718854,180.270343785051,65.8735820761368,38.42529276916,5.10449416658844,5.41922904170472,0,21.1697075525883
"MMP1",230.548692971995,66.9048208487368,1640.57556039342,160.440605968695,127.946765186343,6083.77180788809,4747.17957492725,3373.85716624988,1219.27494607722,3049.68316448757
"MRS2",188.702526096941,177.100996364303,260.538054256027,139.709516433414,262.227528649237,230.55175661496,447.153688993147,273.283978817395,547.61480208431,150.678506697834
"MTIF2",109.747494257217,110.196175515566,205.173717726621,98.2473373628526,152.015958637239,108.28946144036,70.4420194989204,107.610405256708,0,188.036814143578
"NCBP1",71.0595286557518,39.3557769698452,49.6650665925552,36.0540687570101,89.3093756993777,59.38454337052,14.2925836664476,34.8379009823875,125.558089980657,153.169060527551
"NRAS",62.3744751533821,23.6134661819071,20.3545354887521,27.0405515677576,17.7351951743445,37.726651082448,56.1494358324728,42.5796567562514,0,27.396092126879
"MEN1",236.865095519173,204.650040243195,127.826482869363,201.902785039257,179.885551054066,79.6451522851679,245.015719996245,133.932374887845,122.532593836545,296.375905736236
"MORF4L1",63.1640254717794,45.259143515322,63.5061507249066,55.8838065733657,63.3399827655161,58.685901683808,32.668762666166,71.2241531195478,252.62892803337,90.9052147846438
"NADK",153.172761769065,503.753945214018,354.168917504287,241.562260671968,339.502307623166,306.703700466568,544.139078158327,526.439392622744,434.158696680102,305.092844140243
"MCM10",91.5878369340801,43.2913546668297,30.1247125233531,20.7310895352808,43.071188280551,136.23512890884,101.068984498451,75.0950310064797,116.48160154832,174.338768080139
"MLX",129.486252217148,216.456773334148,248.325332962776,137.005461276638,24.0691934508961,342.33442648888,435.923801826653,438.183376800696,550.640298228422,61.0185688280486
"MRPS28",67.1117770637656,84.6149204851671,49.6650665925552,83.8257098600485,124.146366220412,39.123934455872,44.9195486659783,154.060939899891,210.271982015799,339.960597756271
"NQO1",45.0043681486428,125.938486303505,12.2127212932513,62.1932686058425,116.54556828855,44.014426262856,35.7314591661191,106.836229679322,105.892365043927,92.1504916995019
"MOCS3",267.657557936665,263.683705697963,236.926793089075,315.473101623839,350.903504520959,308.799625526704,612.539299990613,502.439949723766,263.218164537762,671.204257108534
"MTF2",150.804110813873,151.519741333904,130.269027128014,145.117626746966,129.213564841653,115.27587830748,113.319770498263,113.029634298413,198.16999743935,117.056029996665
