"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"CATSPERG",30.6971014595942,0.405223185879782,0.667294014917381,0.607263330437563,0.543676169568016,0.744435511103205
"CYB561D2",36.5471742788559,-1.14608525636709,0.912402125254346,-1.25611857386632,0.209072982889739,0.444507635018397
"TSSK4",12.1137150754543,-0.96240982429402,1.093276980509,-0.880298260598107,0.378697754657881,0.612494315775908
"PDK1",83.7039094682633,-1.02892692398405,0.771499525520279,-1.33367149291526,0.182311541300008,0.412201643275361
"ECM1",2275.06744848019,0.443233037797947,0.294412715012666,1.50548198225365,0.132200205733593,0.343543359576303
"MTX3",51.7428409034699,-0.0506634620172366,0.929025144980181,-0.0545340051246056,0.956509716717212,0.981749601045626
"LDHAL6B",28.5228006650397,0.554257955301094,0.948880385602445,0.584117833723789,0.559141037202983,0.755153195486029
"ITPR2",375.344675884303,-1.12259427057699,0.417183134219131,-2.69089083066176,0.00712615099340864,0.0605178987100422
"VMO1",109.695392225548,2.02890492219191,0.668974787126069,3.03285708405862,0.00242250298711207,0.0296756720720291
"SPSB4",10.4415216051089,-0.0806078906442206,2.01695194099069,-0.0399652014537478,0.968120869333139,0.987141973696183
"RAP2B",632.123814295541,1.78581284427317,0.464116007330043,3.84777257424617,0.000119196626124145,0.00382415258411915
"RASL12",14.4477302176782,-2.99322905852474,1.27362222696814,-2.35017024290643,0.018764826340976,0.111332670525689
"ANKRD22",96.3607452362055,0.00155178871879906,0.665489187598492,0.00233180154947205,0.998139493230842,0.999383404756169
"AKR1B15",32.772194482861,4.06380283221525,1.04496133333878,3.88895043535333,0.000100678674473969,0.00346812970944426
"FHOD3",137.173048966924,0.376367770708175,0.545553656615497,0.68988222541314,0.490268254474924,0.705442732813874
"RASSF6",29.3721745087675,0.309597659805846,1.01497426246906,0.305030059631965,0.760343258323413,0.882016908969167
"LRIG2",76.7856828103537,-0.384321552984244,0.906996374119624,-0.423729977264006,0.671762750321197,0.830153025241919
"PCM1",61.2658379697063,-1.29294043273575,0.910518895073707,-1.42000395569066,0.155606529442988,0.376344038377703
"TMEM236",15.1566638341783,-0.525196135065382,1.70178346369774,-0.308615135984577,0.757614305701515,0.880142128939377
"IGLV1-51",14.8388536666905,-0.330974385596596,1.4494295807435,-0.228348027385242,0.81937569019778,0.913991020298445
"PHLPP1",75.9091554095649,-0.627536373325802,0.45466348898719,-1.38022161120459,0.167518421932651,0.392344211652564
"ANKRD29",128.560154137454,0.818097437838146,0.480655390366505,1.70204569476343,0.088746802690532,0.277711711737522
"PIAS4",396.31422154871,0.276769871766105,0.347808380979946,0.795753888926737,0.42617509789635,0.652728739051219
"CHD7",6.27950765844973,-0.000829775386198123,1.99310202829047,-0.000416323587262534,0.999667821847021,NA
"RHOU",105.135288914179,-1.9812805697116,0.800705908031309,-2.47441732331283,0.0133453705410207,0.0908495816038005
"UBD",237.00445578975,0.691318139429507,0.425505148640056,1.62469982240875,0.104226535233096,0.30223423484076
"MCPH1",742.743742912123,-0.081941208726579,0.443910261173089,-0.184589580132793,0.853550959345515,0.930389596588407
"RUFY4",34.4429270177682,1.00020680310436,0.850333096282282,1.17625293838066,0.239493815712525,0.478842373614156
"MFSD3",42.5846689233593,-0.69265023226806,0.890391405662976,-0.777916574511768,0.436618196457237,0.661042997041768
"SLC22A31",25.4080410903791,-1.74034082640416,1.07221238122177,-1.62313069395922,0.104561469417796,0.302821773719099
"AGO3",17.3864522340925,0.374100356177978,1.38800455234136,0.269523868309311,0.787526577302587,0.89642220228411
"FZD8",8.47856625488338,-0.693869731979626,1.84770659798853,-0.375530256121287,0.707266148999072,0.850913452618774
"EMILIN1",749.492351122956,-0.846938858750383,0.578969055031296,-1.46283959633145,0.143511275468795,0.35860141715587
"FTCDNL1",6.18072023692238,-1.11839827189939,1.68465619880244,-0.663873301089216,0.506771405671866,NA
"IL22RA1",69.8509955023715,-1.93067187316899,0.818993712847427,-2.35737081113425,0.0184048580916479,0.110211834149169
"BRD1",420.297094218214,-0.728116286402328,0.366416184527145,-1.98712916390948,0.0469080851365218,0.19298908287369
"C13orf46",10.5406879752679,-2.65168733574397,1.84706594385995,-1.4356213672602,0.15111011125084,0.369440425264405
"FZD4",26.9108096151748,-1.28199548887595,0.98108208204733,-1.30671583176881,0.191309239788282,0.423225076724813
"PROX1",32.411931408197,-0.241843202923587,0.682982751594245,-0.354098551331007,0.72326502771658,0.860582264525431
"IGHV1-2",89.4880922832548,0.090729078807435,2.99078850111109,0.0303361734785756,0.975798947575749,0.990831686267724
"FJX1",67.4202702528605,0.932054448734003,0.545874485456789,1.7074519391652,0.0877380835378183,0.275742764485609
"PSMB8",1245.73456470201,0.649435211628731,0.32119512107731,2.02193361297171,0.0431832106805887,0.184119144635833
"RASSF3",33.1670240231555,-0.790015506937284,0.957479284776459,-0.825099320160986,0.409315205661111,0.639777269146655
"CCN6",58.1280288488926,1.54815444091341,0.760179528153427,2.03656423723232,0.0416937296780023,0.180632499931205
"B3GNT10",28.8576795259321,-0.128624478307802,0.943386751141551,-0.136343316409903,0.891549882040866,0.949824411779176
"QRSL1",14.5334374319125,-0.786436697853586,1.15720859248338,-0.679598045643515,0.496759007483151,0.709594223017315
"ACO2",25.1681277376612,0.147490094818718,0.733417733361385,0.201099711814635,0.840620607329758,0.924526176985417
"GRPEL1",59.642392369773,-0.701526731079336,1.1368153372927,-0.617098228767747,0.537169936907655,0.740049523262845
"TRAV12-2",6.1717060135009,-1.00309733977764,2.37704678328553,-0.42199309951787,0.673030054190644,NA
"SLC25A53",10.7917799754984,2.21229529047948,1.42195375589326,1.55581380991517,0.119752373275603,0.325981584230409
"MPL",13.1177319751825,-0.848130395014651,1.60309639585489,-0.529057639458023,0.596765465847377,0.781693090634856
"AMFR",60.3055097828937,-0.343000933147406,1.04377922295708,-0.328614447963111,0.742447126157793,0.871531007345915
"TMCO1",281.397840453951,0.183779322849728,0.370442982921179,0.496106908006491,0.619818985639145,0.796374317819731
"RAB7A",372.183072052698,-0.84438784742496,0.424613369138145,-1.98860400730869,0.046744928740289,0.192618321990453
"FAM155A",43.7818132929377,1.56996045707521,0.726110145949753,2.16215193498185,0.0306064669896689,0.149362277470679
"TSPYL1",210.936285915295,-0.896854867963803,0.387313600640979,-2.31557803929314,0.0205813190534866,0.117482802181504
"LRRC56",127.079894140636,0.535835051334566,0.453018714679842,1.18280996782495,0.236884469241627,0.475749818473868
"NKAPL",14.9329899061029,0.0465515236959279,1.75517723719625,0.0265224062330537,0.978840662294197,0.99204609335891
"B3GALT4",68.4956106447721,0.109149786178218,0.53082449752725,0.205623114017293,0.83708532095136,0.922585008530979
"BCL2L10",29.6765888750993,1.22609202584103,1.27954824402599,0.958222584857948,0.337950531017008,0.576781737249581
"DBN1",729.658465768796,-0.305005265014799,0.383391851843721,-0.795544463316152,0.426296857475354,0.652728739051219
"UBAC1",358.635211400413,0.613154396254554,0.28945746903272,2.11828839070393,0.0341506512267541,0.159010846858788
"TRBV19",9.1929999119605,-0.396564103190782,1.87274262102095,-0.211755795345006,0.83229755660317,0.920385406018903
"ANO9",51.4847030575343,-1.7808575703806,0.766780548199108,-2.32251271183547,0.0202053447474036,0.116209690557664
"BARX2",232.490058467851,-1.18706539689687,0.427664598443749,-2.77569244968264,0.00550842879585533,0.051586748652094
"CCDC146",8.54734461992844,-2.71207850288803,1.35948213602939,-1.99493500577296,0.046049968971649,0.190916700431038
"CXCL11",64.9047664027237,0.46782426901027,0.546827120195489,0.855524994522993,0.392260573392342,0.625014396486641
"PTGDR",13.0795839101516,-0.111034321412572,1.44898016038131,-0.0766292903440113,0.938918457130671,0.975002266161996
"KIAA0556",387.086166008995,-0.487393086977275,0.37242183064608,-1.30871245150087,0.190631772327741,0.422892084440376
"GRIN2D",86.7052571345399,2.19876594243713,1.20769303435104,1.82063312439211,0.0686626440987525,0.238619737966252
